time,solar_used_daily,solar_used_weekly,solar_used_total,grid_used_daily,grid_used_weekly,grid_used_total
2025-08-14T00:00:00Z,0.0,0.0,0.0,10.0,10.0,10.0
2025-08-15T00:00:00Z,2.95,2.95,2.95,5.03,15.03,15.03
2025-08-16T00:00:00Z,1.53,4.48,4.48,1.61,16.64,16.64
2025-08-17T00:00:00Z,4.54,9.02,9.02,4.67,21.31,21.31
2025-08-18T00:00:00Z,3.73,12.75,12.75,2.39,23.70,23.70
2025-08-19T00:00:00Z,4.91,17.66,17.66,0.74,24.44,24.44
2025-08-20T00:00:00Z,1.80,19.46,19.46,0.53,24.97,24.97
2025-08-21T00:00:00Z,2.96,2.96,22.42,1.76,1.76,26.73
2025-08-22T00:00:00Z,2.76,5.72,25.18,1.69,3.45,28.42
2025-08-23T00:00:00Z,2.07,7.79,27.25,2.08,5.53,30.50
2025-08-24T00:00:00Z,3.73,11.52,30.98,2.42,7.95,32.92
2025-08-25T00:00:00Z,6.21,17.73,37.19,0.01,7.96,32.93
2025-08-26T00:00:00Z,8.52,26.25,45.71,2.17,10.13,35.10
2025-08-27T00:00:00Z,6.84,33.09,52.55,0.69,10.82,35.79
2025-08-28T00:00:00Z,4.90,4.90,57.45,0.03,0.03,35.82
2025-08-29T00:00:00Z,4.50,9.40,61.95,2.1,2.13,37.92
